rank	envios	tipo	mean	sd	n
5	14500	public	402600000.1	5331397.09384157	10
5	15000	public	397439166.7	6697321.88092587	10
5	15500	public	393561666.6	8156353.37388916	10
5	16000	public	388565833.2	9218510.30387191	10
5	16500	public	383680000	7899801.99318195	10
5	17000	public	378106666.8	4471938.88314319	10
5	17500	public	372955000	7518926.8697627	10
5	18000	public	365007500.1	8222732.12203842	10
5	18500	public	359021666.8	7641846.13806777	10
5	19000	public	353998333.4	7035717.87129391	10
5	4000	private	272045714.3	3666282.94117962	10
5	4500	private	286047142.9	2740367.45418304	10
5	5000	private	301730000	2894444.4972428	10
5	5500	private	316965000.1	5745208.12137308	10
5	6000	private	331744285.6	3449952.87437335	10
5	6500	private	341950714.2	4854777.42197479	10
5	7000	private	346959642.9	3103436.04163212	10
5	7500	private	352062857.1	4718728.70645044	10
5	8000	private	356156428.5	4481970.44463185	10
5	8500	private	356533571.4	4754029.58106985	10
5	9000	private	358780714.4	4222283.26026982	10
5	9500	private	362155357.1	4593321.64815784	10
5	10000	private	364237500	4899168.2132296	10
5	10500	private	363235714.2	6110861.58444086	10
5	11000	private	364944642.8	4408420.26677654	10
5	11500	private	368052142.8	4689784.95172961	10
5	12000	private	371670357	5753894.67003086	10
5	12500	private	375174642.9	5006645.30783532	10
5	13000	private	374412500.1	4832879.29160478	10
5	13500	private	375225714.3	4962414.61205634	10
5	14000	private	369505714.3	5137313.98130993	10
5	14500	private	363785714.2	5638621.44423469	10
5	15000	private	362068928.5	5361218.14919464	10
5	15500	private	360587857.2	6680245.35965166	10
5	16000	private	357228928.5	5758881.58627814	10
5	16500	private	351779999.9	4133666.89601783	10
5	17000	private	347097142.9	2530452.50892644	10
5	17500	private	341919285.7	2031087.96358137	10
5	18000	private	336682500.1	3135069.52449066	10
5	18500	private	331547857.1	4042599.85811539	10
5	19000	private	328672142.8	4739455.89162056	10
6	4000	public	257069999.8	8148451.27610225	10
6	4500	public	266374166.7	6345330.2766048	10
6	5000	public	283790833.2	6740038.8618325	10
6	5500	public	300978333.4	5875285.86297965	10
6	6000	public	322244999.9	7148067.25169059	10
6	6500	public	340285000	9625999.16753876	10
6	7000	public	352806666.6	7281947.36544329	10
6	7500	public	353869999.9	4470560.87749432	10
6	8000	public	357591666.4	6837620.62416452	10
6	8500	public	365621666.8	7014906.15248331	10
6	9000	public	371919166.8	6304233.83459359	10
6	9500	public	375045000.1	5641982.24090317	10
6	10000	public	376979166.7	3606396.97479561	10
6	10500	public	380801666.7	8742819.81317693	10
6	11000	public	382699166.8	8047019.05636223	10
6	11500	public	381654166.8	7395864.845671	10
6	12000	public	383955000.2	9159248.83438175	10
6	12500	public	386640833.4	7135026.63076519	10
6	13000	public	382460833.5	9922800.86469081	10
6	13500	public	381819166.8	8555233.55497227	10
6	14000	public	381516666.8	7636199.53948233	10
6	14500	public	384596666.7	10964140.6389868	10
6	15000	public	385641666.6	9931260.62830314	10
6	15500	public	384990833.3	9838267.51864661	10
6	16000	public	381159166.7	9990073.22356968	10
6	16500	public	375329166.7	9608957.00768909	10
6	17000	public	368188333.2	8067037.19409969	10
6	17500	public	366850000.1	8106038.07885224	10
6	18000	public	363495000	7099838.37752925	10
6	18500	public	359131666.7	6710795.81963567	10
6	19000	public	357362500.1	4933232.11041676	10
6	4000	private	267755714.3	3815108.35085063	10
6	4500	private	284353928.7	4489144.27107432	10
6	5000	private	300146785.7	3683113.3766796	10
6	5500	private	316195000	5455363.71772134	10
6	6000	private	327037857.2	3954814.11217512	10
6	6500	private	334549285.7	3353955.98208981	10
6	7000	private	341597142.9	4416408.58680455	10
6	7500	private	343341428.6	5130365.96192371	10
6	8000	private	348346428.5	3959788.66200363	10
6	8500	private	353076428.7	4954404.73101538	10
6	9000	private	359334642.8	3427654.48784918	10
6	9500	private	363495000	4359876.57290346	10
6	10000	private	371151785.7	3294448.16916062	10
6	10500	private	376742142.8	4348833.69438098	10
6	11000	private	377971785.7	4857696.30544457	10
6	11500	private	377476785.7	3936126.51258476	10
6	12000	private	378533571.3	6174267.9864263	10
6	12500	private	377539643	5999147.22494211	10
6	13000	private	379959642.9	6748357.50753731	10
6	13500	private	381806071.3	4833155.96132789	10
6	14000	private	378950000	5266435.26251516	10
6	14500	private	375272857.2	7277611.82388259	10
6	15000	private	371053571.5	4759898.4020389	10
6	15500	private	364575357	4454516.12248598	10
6	16000	private	359303214.2	5240433.77374496	10
6	16500	private	351430357.2	3955856.56452182	10
6	17000	private	344590714.4	4716438.6261044	10
6	17500	private	339350000	4453497.75629294	10
6	18000	private	332773571.4	4794330.85737492	10
6	18500	private	329300714.2	2899807.49535439	10
6	19000	private	324558928.5	3542655.17850321	10
7	4000	public	259031666.8	9580499.41705147	10
7	4500	public	282736666.7	7104045.08263939	10
7	5000	public	301409166.5	8076319.47731709	10
7	5500	public	316039166.6	9678932.11786415	10
7	6000	public	330834166.6	6645457.59663261	10
7	6500	public	343704166.7	7836085.31893428	10
7	7000	public	354786666.6	4828009.85644714	10
7	7500	public	360204166.7	5109680.15370319	10
7	8000	public	368610000	7709669.97300096	10
7	8500	public	374412499.9	7700878.97253888	10
7	9000	public	380480833.3	7858904.46633155	10
7	9500	public	386320000.1	4230416.26864892	10
7	10000	public	385880000	3675364.66117209	10
7	10500	public	383368333.3	6984574.95702999	10
7	11000	public	383377499.9	8308645.13126071	10
7	11500	public	382405833.4	13267308.8813384	10
7	12000	public	384266666.7	11638257.6682718	10
7	12500	public	385889166.7	7868521.38353504	10
7	13000	public	389665833.3	6010278.34090266	10
7	13500	public	388794999.9	8750547.7651543	10
7	14000	public	390133333.2	8657527.26522696	10
7	14500	public	392883333.2	6653818.6605814	10
7	15000	public	390610000	3119900.17884002	10
7	15500	public	387465833.3	5936976.60419037	10
7	16000	public	382415000	8416355.83888836	10
7	16500	public	379234166.7	8952772.6070899	10
7	17000	public	377309166.6	8908865.10650633	10
7	17500	public	370810000.1	9424375.71673832	10
7	18000	public	369260833.4	11327175.5949798	10
7	18500	public	369838333.4	8550992.8646248	10
7	19000	public	366950833.3	10111853.1865691	10
7	4000	private	263615000	4593528.86217083	10
7	4500	private	283155714.4	3546619.86747614	10
7	5000	private	297781785.7	7213549.7173203	10
7	5500	private	308954642.8	7303669.78874428	10
7	6000	private	325871071.4	5097209.21729261	10
7	6500	private	333555357.3	5274122.32674946	10
7	7000	private	343734285.6	6224391.3939373	10
7	7500	private	351626785.6	3991030.12181317	10
7	8000	private	356510000.1	4451756.99429037	10
7	8500	private	361408928.5	4866048.4657504	10
7	9000	private	363679642.8	6275121.50809894	10
7	9500	private	366205714.1	7995781.2359673	10
7	10000	private	367022857.1	6184119.88685262	10
7	10500	private	369827857.1	3928475.38968325	10
7	11000	private	371552499.9	5108487.2955558	10
7	11500	private	371497499.8	8709309.11498382	10
7	12000	private	372899999.8	7029057.42110124	10
7	12500	private	373933214.3	5535834.51034528	10
7	13000	private	375614642.9	5364045.12860299	10
7	13500	private	373787857.2	4975887.18556951	10
7	14000	private	372899999.8	6610696.07145065	10
7	14500	private	368892857.2	5692137.26275353	10
7	15000	private	362952857	5107236.92733878	10
7	15500	private	360371785.8	4665157.16862594	10
7	16000	private	357193571.3	4351356.61200389	10
7	16500	private	351799642.9	5512347.12289802	10
7	17000	private	349167500	4875526.19470797	10
7	17500	private	344252857.1	5058960.14325058	10
7	18000	private	339102500.1	3397301.95664028	10
7	18500	private	334297857.1	6015325.84358968	10
7	19000	private	328306785.9	3990866.95434877	10
8	4000	public	242861666.7	11487523.6557636	10
8	4500	public	267556666.7	10933749.729232	10
8	5000	public	283103333.3	13612230.9000462	10
8	5500	public	294497500.1	10538880.9285069	10
8	6000	public	309961666.7	7538396.80423817	10
8	6500	public	322080000.1	8800869.92660034	10
8	7000	public	340220833.3	7426980.16736827	10
8	7500	public	351523333.3	5896953.13364202	10
8	8000	public	364870000	7803484.68978467	10
8	8500	public	367574166.7	9590205.72296047	10
8	9000	public	372588333.3	10682057.9111441	10
8	9500	public	378555833.3	8726599.22464603	10
8	10000	public	385073333.4	5666025.02257269	10
8	10500	public	391930000	9850572.86129488	10
8	11000	public	391865833.3	8787200.9584683	10
8	11500	public	391260833.3	9060023.64321514	10
8	12000	public	392919999.9	10006111.8365073	10
8	12500	public	391334166.6	10089299.1520597	10
8	13000	public	390472500.1	6249197.55786472	10
8	13500	public	390839166.8	5713325.29733867	10
8	14000	public	390655833.4	8584322.04595343	10
8	14500	public	388859166.7	10866996.5170314	10
8	15000	public	384605833.4	11811139.1579473	10
8	15500	public	382543333.3	12282329.9120834	10
8	16000	public	379518333.3	10535580.3129382	10
8	16500	public	375430000	12988677.49386	10
8	17000	public	373257500	11502245.0084567	10
8	17500	public	367500833.2	8679977.80969457	10
8	18000	public	362660833.4	9468875.21526302	10
8	18500	public	358645833.3	11075725.1447105	10
8	19000	public	352834166.7	8920804.33554891	10
8	4000	private	253573571.4	6701057.28970506	10
8	4500	private	271275714.4	8160630.50089601	10
8	5000	private	286927142.9	8398105.91608611	10
8	5500	private	300429642.7	9074934.99669567	10
8	6000	private	308730714.2	7712488.27651454	10
8	6500	private	315165714.2	8300691.30368628	10
8	7000	private	324833928.6	7801075.38134598	10
8	7500	private	335861428.4	7067906.38696802	10
8	8000	private	346170000	7380400.02098314	10
8	8500	private	353811071.4	5673683.27704799	10
8	9000	private	355433571.5	7509412.92275531	10
8	9500	private	359947500	6243203.40858017	10
8	10000	private	362025714.4	7490677.83581397	10
8	10500	private	365372857.1	7465461.91319378	10
8	11000	private	367286071.4	6001204.83110289	10
8	11500	private	368802500	3662316.96065413	10
8	12000	private	371548571.4	6197665.08653482	10
8	12500	private	368771071.4	4796163.68011588	10
8	13000	private	367097500	5030414.32475347	10
8	13500	private	365683214.2	6195170.37229923	10
8	14000	private	363718928.5	6418110.85764411	10
8	14500	private	361974642.9	6673137.33549171	10
8	15000	private	358611785.7	6270884.25104015	10
8	15500	private	353367142.8	7268619.40388761	10
8	16000	private	351520714.2	8422993.25699958	10
8	16500	private	348401428.5	8412244.86636059	10
8	17000	private	343361071.4	8018744.78535611	10
8	17500	private	337813928.6	6052676.57018678	10
8	18000	private	333445357.1	6369942.99246252	10
8	18500	private	328251785.7	6538583.54464876	10
8	19000	private	326185357.2	5601653.90811333	10
9	4000	public	248114166.7	3441822.4895494	10
9	4500	public	265659166.6	4970788.79270971	10
9	5000	public	278428333.5	8028869.8786179	10
9	5500	public	284725833.3	5170926.23637556	10
9	6000	public	288777500.1	6207073.57052728	10
9	6500	public	288163333.3	4377919.07193023	10
9	7000	public	295643333.4	6838002.99996504	10
9	7500	public	306276666.7	8357913.58946792	10
9	8000	public	324674166.7	6107665.02508969	10
9	8500	public	340725000.1	9846477.51930972	10
9	9000	public	355767500	7684883.29276749	10
9	9500	public	372753333.4	9371464.05802553	10
9	10000	public	387511666.5	9611575.42208583	10
9	10500	public	394625000	12720215.8100287	10
9	11000	public	402856666.8	15434687.7696567	10
9	11500	public	413746666.6	10209781.0328329	10
9	12000	public	415424166.7	8295082.12154336	10
9	12500	public	420520833.2	6197770.89821737	10
9	13000	public	425764166.7	8779079.62252899	10
9	13500	public	428899166.7	7337081.66061318	10
9	14000	public	432428333.3	11033323.1540011	10
9	14500	public	435975833.5	12431601.9039069	10
9	15000	public	437717500.1	7432283.31475614	10
9	15500	public	437598333.4	7583049.34712048	10
9	16000	public	433629166.6	5650258.58580117	10
9	16500	public	427487500	6997989.47127842	10
9	17000	public	418889166.7	5692533.56839868	10
9	17500	public	412252500	5213291.66608575	10
9	18000	public	404690000	4974609.5863934	10
9	18500	public	401564166.6	3662603.09309253	10
9	19000	public	395532499.9	5554131.04601954	10
9	4000	private	264993928.5	4872697.55290848	10
9	4500	private	275388928.7	4014943.17061325	10
9	5000	private	295530714.4	3632940.96390077	10
9	5500	private	313731785.8	3962968.31473079	10
9	6000	private	326452500.2	3381161.59483811	10
9	6500	private	335672857	4585660.06424702	10
9	7000	private	341581428.6	3818819.40445075	10
9	7500	private	345352857.3	3567763.84850617	10
9	8000	private	355068214.2	5877339.21087833	10
9	8500	private	360289285.7	3870612.21361212	10
9	9000	private	364371071.3	4310838.29567553	10
9	9500	private	366205714.4	6320137.08447657	10
9	10000	private	369623571.5	3950258.49125503	10
9	10500	private	371917857.1	3927349.09095177	10
9	11000	private	374204285.7	3293175.0552935	10
9	11500	private	374879999.9	4805085.14360349	10
9	12000	private	375103928.7	5423688.09276146	10
9	12500	private	374019643	5722821.17600971	10
9	13000	private	374129643.1	6245510.05884335	10
9	13500	private	373414642.7	5605785.36150697	10
9	14000	private	372216428.5	3583466.05049274	10
9	14500	private	372581785.7	4832992.61981028	10
9	15000	private	368692500.2	4186482.29738874	10
9	15500	private	367329285.8	6668724.69935122	10
9	16000	private	366830357.1	5182712.47804681	10
9	16500	private	364119642.9	6536773.75460385	10
9	17000	private	360576071.4	5630344.87250009	10
9	17500	private	359177499.9	4616328.79672934	10
9	18000	private	353775714.3	5247672.15787229	10
9	18500	private	350558214.3	6067266.96795163	10
9	19000	private	347328928.6	5206718.38742637	10
10	4000	public	252706666.7	5671460.05224383	10
10	4500	public	270865833.3	7395006.29357657	10
10	5000	public	295735000.1	8292870.10281858	10
10	5500	public	314361666.7	9981261.18341172	10
10	6000	public	329367500.1	7753582.85523698	10
10	6500	public	340844166.8	6506834.07186364	10
10	7000	public	347535833.2	5057299.71977923	10
10	7500	public	352375833.3	8854096.21685612	10
10	8000	public	357994999.9	7937060.54170661	10
10	8500	public	366904999.9	5260030.43328989	10
10	9000	public	375173333.4	6296342.89892667	10
10	9500	public	379995000	5582592.81440815	10
10	10000	public	383570000	6748310.63454925	10
10	10500	public	388364166.6	6852630.89507947	10
10	11000	public	390490833.4	11414816.8795628	10
10	11500	public	391031666.7	10252361.0395814	10
10	12000	public	391233333.3	8271474.05160772	10
10	12500	public	394368333.3	4894004.40020842	10
10	13000	public	390582500	4129060.82422184	10
10	13500	public	394038333.3	8000912.52957599	10
10	14000	public	394487500	8151206.2027199	10
10	14500	public	394496666.6	6092167.67546052	10
10	15000	public	391865833.4	7437934.08589865	10
10	15500	public	394148333.5	6647192.43574141	10
10	16000	public	388905000	8367559.56741257	10
10	16500	public	384752499.9	11018491.7640979	10
10	17000	public	382607500	9287024.21159707	10
10	17500	public	378381666.7	6924565.74469422	10
10	18000	public	374907500	7551421.10143744	10
10	18500	public	376099166.8	9550989.19201179	10
10	19000	public	371259166.7	8289227.23955319	10
10	4000	private	264597142.8	3400821.06839016	10
10	4500	private	286357500	4744108.60463879	10
10	5000	private	304456428.6	6443650.26819765	10
10	5500	private	320516428.6	3818118.61215513	10
10	6000	private	328856785.5	3640355.98611074	10
10	6500	private	336823928.6	3034596.49659065	10
10	7000	private	343698928.7	3956281.34587533	10
10	7500	private	349796071.5	5236505.6845907	10
10	8000	private	358545000	4090462.74613901	10
10	8500	private	363683571.6	6829068.05235836	10
10	9000	private	367840000	4851915.73285078	10
10	9500	private	372373571.4	6530473.07601994	10
10	10000	private	373669999.9	5634672.5395762	10
10	10500	private	375072499.9	4623789.23905733	10
10	11000	private	375889642.9	4002580.42767556	10
10	11500	private	373929285.7	5990775.79277863	10
10	12000	private	376042857.2	5967751.55535293	10
10	12500	private	378313571.4	4059557.66031972	10
10	13000	private	378207500.1	3333629.33453268	10
10	13500	private	375155000	5595520.30261973	10
10	14000	private	373391071.4	4790146.24596263	10
10	14500	private	371187142.7	2726087.8041469	10
10	15000	private	368071785.8	4865491.80570508	10
