corrida	prop_type	n	y_max	y_p50	y_mean
02_cv5	initdesign	24	0.92576201247609	0.907537980699324	0.8748187553485121
02_cv5	infill_ei	300	0.929944383301192	0.923956990909778	0.9218810945827126
03_cv3	initdesign	24	0.924012226276298	0.904400184742053	0.8063245978866397
03_cv3	infill_ei	300	0.929333579590124	0.921786896859076	0.9189629829084144
