# top 10 02_cv5
iter	y	num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_sum_hessian_in_leaf
182	0.929944383301192	1605.0	0.0101833281991892	0.379926576490886	2042.0	214.0	0.9296180519787828
305	0.929902118512778	960.0	0.0164714470106656	0.401396267323848	2047.0	228.0	0.523576682405037
66	0.929874351747678	2048.0	0.0101972299954579	0.459048742649704	47.0	267.0	0.04238038096590703
321	0.929868340451884	1717.0	0.0192004931373539	0.283297933873387	2045.0	195.0	0.736940517423935
266	0.929812251897017	741.0	0.019057217164223	0.499148191571422	1277.0	257.0	0.0003619050656024231
143	0.929762356569983	2043.0	0.0159822299296042	0.449352378004864	373.0	229.0	1.0211485616734265e-05
159	0.929709988731317	825.0	0.0154709725492777	0.259679878720358	2047.0	206.0	0.837999741223262
306	0.929702089475225	786.0	0.0100078611791867	0.437865988735081	1372.0	247.0	0.17283904523099736
157	0.929657810075788	2027.0	0.0109001571993224	0.332458126404988	2041.0	257.0	0.873549884928186
217	0.92959737354235	750.0	0.0207576828303618	0.229585917426784	12.0	248.0	0.19587527794206014
# top 10 03_cv3
iter	y	num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_sum_hessian_in_leaf
296	0.929333579590124	1880.0	0.0104402868521066	0.316850167668283	662.0	179.0	1.005665251691861e-05
209	0.929003523022852	1953.0	0.0100353872582551	0.543333273236648	687.0	208.0	0.493935284685342
321	0.928721124403201	1971.0	0.0101967280898495	0.275559787190273	993.0	232.0	1.3209270217602734e-05
271	0.928693543162653	395.0	0.0750465551075662	0.218412412909583	9.0	223.0	1.0653451064011455e-05
298	0.928577056602771	1921.0	0.0101216408150992	0.299368784876284	2019.0	214.0	0.027620334319363345
227	0.928499056096425	2043.0	0.0102083003311193	0.422899013378025	2019.0	266.0	0.917483283002468
140	0.928449223785961	2044.0	0.0489812849998703	0.623933995823802	1606.0	196.0	0.965586243467383
299	0.928393746763565	1143.0	0.0103145274356725	0.159760312437271	8.0	183.0	1.0486934114211086e-05
164	0.928306940123474	1753.0	0.0191140078527913	0.622487597888362	2041.0	218.0	0.0017205731957869496
282	0.928256845646134	2015.0	0.0100798347534014	0.647483267180121	652.0	200.0	2.097971579771387e-05

# top 30 02_cv5
iter	y	num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_sum_hessian_in_leaf
182	0.929944383301192	1605.0	0.0101833281991892	0.379926576490886	2042.0	214.0	0.9296180519787828
305	0.929902118512778	960.0	0.0164714470106656	0.401396267323848	2047.0	228.0	0.523576682405037
66	0.929874351747678	2048.0	0.0101972299954579	0.459048742649704	47.0	267.0	0.04238038096590703
321	0.929868340451884	1717.0	0.0192004931373539	0.283297933873387	2045.0	195.0	0.736940517423935
266	0.929812251897017	741.0	0.019057217164223	0.499148191571422	1277.0	257.0	0.0003619050656024231
143	0.929762356569983	2043.0	0.0159822299296042	0.449352378004864	373.0	229.0	1.0211485616734265e-05
159	0.929709988731317	825.0	0.0154709725492777	0.259679878720358	2047.0	206.0	0.837999741223262
306	0.929702089475225	786.0	0.0100078611791867	0.437865988735081	1372.0	247.0	0.17283904523099736
157	0.929657810075788	2027.0	0.0109001571993224	0.332458126404988	2041.0	257.0	0.873549884928186
217	0.92959737354235	750.0	0.0207576828303618	0.229585917426784	12.0	248.0	0.19587527794206014
226	0.929543628472375	737.0	0.0239071372304995	0.430583349091639	1131.0	262.0	0.205406843733557
245	0.929532694011077	1619.0	0.0142405244326615	0.456349801293364	533.0	272.0	0.00011381672031591172
299	0.929464012186502	2046.0	0.0185854622202033	0.434093630159348	97.0	230.0	0.16714575817346716
252	0.929456642374632	2044.0	0.0185685444378663	0.494290633042917	15.0	241.0	0.975703882984022
289	0.929387036916831	942.0	0.0136116050166818	0.741525148772729	137.0	269.0	0.0005928516414318017
248	0.929364443233376	2048.0	0.0239502566427406	0.530107924806216	485.0	204.0	0.2323346341630189
208	0.929346827925238	2042.0	0.0102285293990854	0.400547650505776	1248.0	212.0	0.1429177729907882
158	0.9293465014415	1645.0	0.0103117938145972	0.522789995637667	2043.0	271.0	6.847883712562747e-05
278	0.929284505791531	1038.0	0.0109793793465224	0.276377747609006	2048.0	281.0	0.5957214556044558
139	0.929277269702613	959.0	0.0194742778845101	0.467094088730609	363.0	227.0	0.677327431308578
120	0.929252694086956	1396.0	0.0102006767439872	0.441511237471916	1231.0	248.0	1.0438489418976231e-05
243	0.929238843612196	824.0	0.0150009693746307	0.585079648933412	575.0	262.0	0.16755984740970586
231	0.929229273783012	1017.0	0.0100402393689104	0.32413098106047	2041.0	263.0	0.0003017513177559808
307	0.929189277275194	1636.0	0.0114517602702018	0.369049697167323	2024.0	268.0	0.15454345072228473
230	0.929093830753323	1873.0	0.0110614215231871	0.456643391843336	1184.0	254.0	0.471646375050584
170	0.929066050326369	1829.0	0.0101766983784535	0.549431159299295	1970.0	227.0	0.945449368242379
145	0.929038575231341	2039.0	0.0100060634554833	0.284670628164219	11.0	146.0	0.461008877798228
263	0.929000143993309	945.0	0.0225114938834084	0.800463957234353	466.0	250.0	0.997340550103871
315	0.928998965391722	895.0	0.0107010960481211	0.347993853046288	1172.0	208.0	0.0703862628170873
242	0.928918653048651	942.0	0.0209134179887616	0.44010483577584	537.0	288.0	1.807268222924998e-05
# top 30 03_cv3
iter	y	num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_sum_hessian_in_leaf
296	0.929333579590124	1880.0	0.0104402868521066	0.316850167668283	662.0	179.0	1.005665251691861e-05
209	0.929003523022852	1953.0	0.0100353872582551	0.543333273236648	687.0	208.0	0.493935284685342
321	0.928721124403201	1971.0	0.0101967280898495	0.275559787190273	993.0	232.0	1.3209270217602734e-05
271	0.928693543162653	395.0	0.0750465551075662	0.218412412909583	9.0	223.0	1.0653451064011455e-05
298	0.928577056602771	1921.0	0.0101216408150992	0.299368784876284	2019.0	214.0	0.027620334319363345
227	0.928499056096425	2043.0	0.0102083003311193	0.422899013378025	2019.0	266.0	0.917483283002468
140	0.928449223785961	2044.0	0.0489812849998703	0.623933995823802	1606.0	196.0	0.965586243467383
299	0.928393746763565	1143.0	0.0103145274356725	0.159760312437271	8.0	183.0	1.0486934114211086e-05
164	0.928306940123474	1753.0	0.0191140078527913	0.622487597888362	2041.0	218.0	0.0017205731957869496
282	0.928256845646134	2015.0	0.0100798347534014	0.647483267180121	652.0	200.0	2.097971579771387e-05
231	0.928188395994724	1957.0	0.0103985095534332	0.73779371034806	15.0	214.0	1.0497109451105622e-05
237	0.928163232642317	1971.0	0.0101870291401813	0.654867009945562	10.0	238.0	0.360469131249024
316	0.928074524406015	1677.0	0.0130401973793456	0.249639262898353	149.0	211.0	1.0324018882048722e-05
108	0.928059562260391	1930.0	0.0100969131125278	0.461435754307285	236.0	149.0	0.001374114388739569
130	0.927986311997488	2037.0	0.0122417463548363	0.525934427987906	1577.0	284.0	1.0191808535471766e-05
301	0.927870904904018	1072.0	0.0447280346070414	0.542610105422925	1944.0	199.0	0.129950246043648
288	0.927786407407872	2046.0	0.010057225329064	0.565952893996731	1332.0	108.0	0.994369736945412
238	0.927760943853017	1056.0	0.090996369742682	0.750606234443381	2045.0	216.0	1.005421329003256e-05
279	0.927737851405078	957.0	0.0109047151369195	0.403635054207702	1576.0	202.0	0.02294594957574102
264	0.927737144450081	1808.0	0.0178015422029742	0.463881620325068	374.0	272.0	0.99045949687927
303	0.927708800167623	604.0	0.0115197183645999	0.310757735484935	11.0	294.0	1.99734801382817e-05
304	0.927620772139579	1798.0	0.0108308353184856	0.69711414315604	2034.0	207.0	1.0092255947178302e-05
180	0.927564053511382	2048.0	0.0230895532277947	0.331961455359645	157.0	161.0	0.11051448289382
273	0.927542985200812	1527.0	0.0438335104248822	0.211495206064297	8.0	179.0	3.523586122952152e-05
267	0.927475242127586	1467.0	0.0100748799733182	0.215020100403022	1625.0	311.0	0.0009225594174265321
287	0.927355147445289	1106.0	0.0705948889741114	0.285538245114552	2048.0	235.0	0.0028905963532292493
159	0.927320856196316	2017.0	0.0114077588307248	0.17034371091747	1376.0	189.0	0.003188254045020116
322	0.92727120291938	2028.0	0.0184222541557338	0.670612955460364	602.0	161.0	0.990372395900169
53	0.927233800231316	387.0	0.0420860860693426	0.607367569951924	657.0	211.0	0.230612967450233
222	0.927200190264475	1938.0	0.0102552132948238	0.266348021960048	559.0	339.0	0.000785057762047829

