semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
514049	-1	14	1090	200	332200000
254729	-1	14	1090	200	334400000
268937	-1	14	1090	200	383075000
243871	-1	14	1090	200	349800000
977359	-1	14	1090	200	314050000
514049	-1	14	2968	200	367400000
254729	-1	14	2968	200	319550000
268937	-1	14	2968	200	348333333.333333
243871	-1	14	2968	200	317991666.666667
977359	-1	14	2968	200	311850000
514049	-1	14	8086	200	330825000
254729	-1	14	8086	200	342466666.666667
268937	-1	14	8086	200	292050000
243871	-1	14	8086	200	323033333.333333
977359	-1	14	8086	200	276191666.666667
514049	-1	14	22026	200	243558333.333333
254729	-1	14	22026	200	243833333.333333
268937	-1	14	22026	200	288383333.333333
243871	-1	14	22026	200	307450000
977359	-1	14	22026	200	245850000
514049	-1	14	60000	200	243558333.333333
254729	-1	14	60000	200	243833333.333333
268937	-1	14	60000	200	288383333.333333
243871	-1	14	60000	200	307450000
977359	-1	14	60000	200	245850000
514049	-1	14	400	502	326516666.666667
254729	-1	14	400	502	348608333.333333
268937	-1	14	400	502	342650000
243871	-1	14	400	502	343108333.333333
977359	-1	14	400	502	355758333.333333
514049	-1	14	1090	502	352366666.666667
254729	-1	14	1090	502	360341666.666667
268937	-1	14	1090	502	357775000
243871	-1	14	1090	502	343108333.333333
977359	-1	14	1090	502	355758333.333333
514049	-1	14	2968	502	372075000
254729	-1	14	2968	502	324591666.666667
268937	-1	14	2968	502	343841666.666667
243871	-1	14	2968	502	316158333.333333
977359	-1	14	2968	502	334125000
514049	-1	14	8086	502	330825000
254729	-1	14	8086	502	342466666.666667
268937	-1	14	8086	502	292050000
243871	-1	14	8086	502	323033333.333333
977359	-1	14	8086	502	276191666.666667
514049	-1	14	22026	502	243558333.333333
254729	-1	14	22026	502	243833333.333333
268937	-1	14	22026	502	288383333.333333
243871	-1	14	22026	502	307450000
977359	-1	14	22026	502	245850000
514049	-1	14	60000	502	243558333.333333
254729	-1	14	60000	502	243833333.333333
268937	-1	14	60000	502	288383333.333333
243871	-1	14	60000	502	307450000
977359	-1	14	60000	502	245850000
514049	-1	14	400	1262	354291666.666667
254729	-1	14	400	1262	371250000
268937	-1	14	400	1262	336783333.333333
243871	-1	14	400	1262	346683333.333333
977359	-1	14	400	1262	339716666.666667
514049	-1	14	1090	1262	354291666.666667
254729	-1	14	1090	1262	371250000
268937	-1	14	1090	1262	336783333.333333
243871	-1	14	1090	1262	346683333.333333
977359	-1	14	1090	1262	339716666.666667
514049	-1	14	2968	1262	354383333.333333
254729	-1	14	2968	1262	371891666.666667
268937	-1	14	2968	1262	336783333.333333
243871	-1	14	2968	1262	340633333.333333
977359	-1	14	2968	1262	339716666.666667
514049	-1	14	8086	1262	330825000
254729	-1	14	8086	1262	342466666.666667
268937	-1	14	8086	1262	292050000
243871	-1	14	8086	1262	323033333.333333
977359	-1	14	8086	1262	276191666.666667
514049	-1	14	22026	1262	243558333.333333
254729	-1	14	22026	1262	243833333.333333
268937	-1	14	22026	1262	288383333.333333
243871	-1	14	22026	1262	307450000
977359	-1	14	22026	1262	245850000
514049	-1	14	60000	1262	243558333.333333
254729	-1	14	60000	1262	243833333.333333
268937	-1	14	60000	1262	288383333.333333
243871	-1	14	60000	1262	307450000
977359	-1	14	60000	1262	245850000
514049	-1	14	400	3170	337333333.333333
254729	-1	14	400	3170	322116666.666667
268937	-1	14	400	3170	380691666.666667
243871	-1	14	400	3170	329450000
977359	-1	14	400	3170	329450000
514049	-1	14	1090	3170	337333333.333333
254729	-1	14	1090	3170	322116666.666667
268937	-1	14	1090	3170	380691666.666667
243871	-1	14	1090	3170	329450000
977359	-1	14	1090	3170	329450000
514049	-1	14	2968	3170	337333333.333333
254729	-1	14	2968	3170	322116666.666667
268937	-1	14	2968	3170	380691666.666667
243871	-1	14	2968	3170	329450000
977359	-1	14	2968	3170	329450000
514049	-1	14	8086	3170	330825000
254729	-1	14	8086	3170	304241666.666667
268937	-1	14	8086	3170	333575000
243871	-1	14	8086	3170	329450000
977359	-1	14	8086	3170	276191666.666667
514049	-1	14	22026	3170	243558333.333333
254729	-1	14	22026	3170	243833333.333333
268937	-1	14	22026	3170	288383333.333333
243871	-1	14	22026	3170	307450000
977359	-1	14	22026	3170	245850000
514049	-1	14	60000	3170	243558333.333333
254729	-1	14	60000	3170	243833333.333333
268937	-1	14	60000	3170	288383333.333333
243871	-1	14	60000	3170	307450000
977359	-1	14	60000	3170	245850000
514049	-1	14	400	7962	243558333.333333
254729	-1	14	400	7962	243833333.333333
268937	-1	14	400	7962	288383333.333333
243871	-1	14	400	7962	307450000
977359	-1	14	400	7962	245850000
514049	-1	14	1090	7962	243558333.333333
254729	-1	14	1090	7962	243833333.333333
268937	-1	14	1090	7962	288383333.333333
243871	-1	14	1090	7962	307450000
977359	-1	14	1090	7962	245850000
514049	-1	14	2968	7962	243558333.333333
254729	-1	14	2968	7962	243833333.333333
268937	-1	14	2968	7962	288383333.333333
243871	-1	14	2968	7962	307450000
977359	-1	14	2968	7962	245850000
514049	-1	14	8086	7962	243558333.333333
254729	-1	14	8086	7962	243833333.333333
268937	-1	14	8086	7962	288383333.333333
243871	-1	14	8086	7962	307450000
977359	-1	14	8086	7962	245850000
514049	-1	14	22026	7962	243558333.333333
254729	-1	14	22026	7962	243833333.333333
268937	-1	14	22026	7962	288383333.333333
243871	-1	14	22026	7962	307450000
977359	-1	14	22026	7962	245850000
514049	-1	14	60000	7962	243558333.333333
254729	-1	14	60000	7962	243833333.333333
268937	-1	14	60000	7962	288383333.333333
243871	-1	14	60000	7962	307450000
977359	-1	14	60000	7962	245850000
514049	-1	20	400	200	314875000
254729	-1	20	400	200	357775000
268937	-1	20	400	200	364925000
243871	-1	20	400	200	339075000
977359	-1	20	400	200	299475000
514049	-1	20	1090	200	332200000
254729	-1	20	1090	200	334400000
268937	-1	20	1090	200	383075000
243871	-1	20	1090	200	349800000
977359	-1	20	1090	200	314050000
514049	-1	20	2968	200	367400000
254729	-1	20	2968	200	319550000
268937	-1	20	2968	200	348333333.333333
243871	-1	20	2968	200	317991666.666667
977359	-1	20	2968	200	311850000
514049	-1	20	8086	200	330825000
254729	-1	20	8086	200	342466666.666667
268937	-1	20	8086	200	292050000
243871	-1	20	8086	200	323033333.333333
977359	-1	20	8086	200	276191666.666667
514049	-1	20	22026	200	243558333.333333
254729	-1	20	22026	200	243833333.333333
268937	-1	20	22026	200	288383333.333333
243871	-1	20	22026	200	307450000
977359	-1	20	22026	200	245850000
514049	-1	20	60000	200	243558333.333333
254729	-1	20	60000	200	243833333.333333
268937	-1	20	60000	200	288383333.333333
243871	-1	20	60000	200	307450000
977359	-1	20	60000	200	245850000
514049	-1	20	400	502	326516666.666667
254729	-1	20	400	502	348608333.333333
268937	-1	20	400	502	342650000
243871	-1	20	400	502	343108333.333333
977359	-1	20	400	502	355758333.333333
514049	-1	20	1090	502	352366666.666667
254729	-1	20	1090	502	360341666.666667
268937	-1	20	1090	502	357775000
243871	-1	20	1090	502	343108333.333333
977359	-1	20	1090	502	355758333.333333
514049	-1	20	2968	502	372075000
254729	-1	20	2968	502	324591666.666667
268937	-1	20	2968	502	343841666.666667
243871	-1	20	2968	502	316158333.333333
977359	-1	20	2968	502	334125000
514049	-1	20	8086	502	330825000
254729	-1	20	8086	502	342466666.666667
268937	-1	20	8086	502	292050000
243871	-1	20	8086	502	323033333.333333
977359	-1	20	8086	502	276191666.666667
514049	-1	20	22026	502	243558333.333333
254729	-1	20	22026	502	243833333.333333
268937	-1	20	22026	502	288383333.333333
243871	-1	20	22026	502	307450000
977359	-1	20	22026	502	245850000
514049	-1	20	60000	502	243558333.333333
254729	-1	20	60000	502	243833333.333333
268937	-1	20	60000	502	288383333.333333
243871	-1	20	60000	502	307450000
977359	-1	20	60000	502	245850000
514049	-1	20	400	1262	354291666.666667
254729	-1	20	400	1262	371250000
268937	-1	20	400	1262	336783333.333333
243871	-1	20	400	1262	346683333.333333
977359	-1	20	400	1262	339716666.666667
514049	-1	20	1090	1262	354291666.666667
254729	-1	20	1090	1262	371250000
268937	-1	20	1090	1262	336783333.333333
243871	-1	20	1090	1262	346683333.333333
977359	-1	20	1090	1262	339716666.666667
514049	-1	20	2968	1262	354383333.333333
254729	-1	20	2968	1262	371891666.666667
268937	-1	20	2968	1262	336783333.333333
243871	-1	20	2968	1262	340633333.333333
977359	-1	20	2968	1262	339716666.666667
514049	-1	20	8086	1262	330825000
254729	-1	20	8086	1262	342466666.666667
268937	-1	20	8086	1262	292050000
243871	-1	20	8086	1262	323033333.333333
977359	-1	20	8086	1262	276191666.666667
514049	-1	20	22026	1262	243558333.333333
254729	-1	20	22026	1262	243833333.333333
268937	-1	20	22026	1262	288383333.333333
243871	-1	20	22026	1262	307450000
977359	-1	20	22026	1262	245850000
514049	-1	20	60000	1262	243558333.333333
254729	-1	20	60000	1262	243833333.333333
268937	-1	20	60000	1262	288383333.333333
243871	-1	20	60000	1262	307450000
977359	-1	20	60000	1262	245850000
514049	-1	20	400	3170	337333333.333333
254729	-1	20	400	3170	322116666.666667
268937	-1	20	400	3170	380691666.666667
243871	-1	20	400	3170	329450000
977359	-1	20	400	3170	329450000
514049	-1	20	1090	3170	337333333.333333
254729	-1	20	1090	3170	322116666.666667
268937	-1	20	1090	3170	380691666.666667
243871	-1	20	1090	3170	329450000
977359	-1	20	1090	3170	329450000
514049	-1	20	2968	3170	337333333.333333
254729	-1	20	2968	3170	322116666.666667
268937	-1	20	2968	3170	380691666.666667
243871	-1	20	2968	3170	329450000
977359	-1	20	2968	3170	329450000
514049	-1	20	8086	3170	330825000
254729	-1	20	8086	3170	304241666.666667
268937	-1	20	8086	3170	333575000
243871	-1	20	8086	3170	329450000
977359	-1	20	8086	3170	276191666.666667
514049	-1	20	22026	3170	243558333.333333
254729	-1	20	22026	3170	243833333.333333
268937	-1	20	22026	3170	288383333.333333
243871	-1	20	22026	3170	307450000
977359	-1	20	22026	3170	245850000
514049	-1	20	60000	3170	243558333.333333
254729	-1	20	60000	3170	243833333.333333
268937	-1	20	60000	3170	288383333.333333
243871	-1	20	60000	3170	307450000
977359	-1	20	60000	3170	245850000
