rank	max_mean_public	envios_argmax	y_bo	iter_bo
8	424343333.1	14000	0.928393746763565	299
4	412325833.5	14000	0.928693543162653	271
3	407522499.9	13000	0.928721124403201	321
5	402444166.7	14000	0.928577056602771	298
1	395303333.3	13500	0.929333579590124	296
9	394753333.4	12000	0.928306940123474	164
6	389601666.6	14000	0.928499056096425	227
2	389399999.9	14500	0.929003523022852	209
10	387245833.4	11500	0.928256845646134	282
7	358902499.9	11500	0.928449223785961	140
